,0,1,2,3
338,466,516271,2,0
339,467,516271,26,0
340,468,516271,4,0
341,469,516271,13,0
342,470,516271,2,0
343,471,207199,4,0
344,472,207199,3,0
345,473,207199,4,0
346,474,207199,4,0
347,475,207199,4,0
348,476,207199,4,0
349,477,207199,0,3
350,478,207199,4,0
351,479,207199,2,0
352,480,207199,2,0
353,481,507598,12,0
354,482,507598,13,0
355,483,207201,5,0
356,484,207201,4,0
357,485,507613,2,0
358,486,507613,3,0
359,487,507613,3,0
360,488,507613,25,0
361,489,507599,11,0
362,490,507599,11,0
363,491,507599,14,0
364,492,507599,22,0
365,493,507599,2,0
366,494,507599,3,0
367,495,507599,10,0
368,496,507599,2,0
369,497,507599,2,0
370,498,507599,13,0
371,499,207200,19,0
372,500,207200,26,0
373,501,207200,21,0
374,502,207200,19,0
375,503,207200,14,0
376,504,207200,14,0
377,505,207200,5,0
378,506,207200,19,0
379,507,207200,15,0
380,508,207200,0,11
381,509,207200,0,15
382,510,207200,0,6
383,511,207200,19,0
384,514,507614,17,0
385,515,507614,12,0
386,516,507539,13,0
387,517,507539,15,0
388,518,507539,12,0
389,519,507539,2,0
390,520,507539,16,0
391,521,507539,2,0
392,529,507615,2,0
393,530,507615,2,0
394,531,507615,25,0
395,532,507615,2,0
396,533,507615,21,0
397,534,507615,2,0
398,535,343368,15,0
399,536,343368,16,0
400,537,349684,14,0
401,538,349684,13,0
402,539,349684,11,0
403,540,349687,8,0
404,541,349687,11,0
405,542,349687,13,0
406,543,349687,12,0
407,544,342452,7,0
408,545,342452,24,0
409,546,342452,19,0
410,547,342452,3,0
411,548,342453,3,0
412,549,342453,4,0
413,550,342453,6,0
414,551,342453,11,0
415,552,344023,17,0
416,553,344023,19,0
417,554,344023,19,0
418,555,344023,17,0
419,556,344023,15,0
420,557,344023,13,0
421,558,344023,15,0
422,559,342454,0,27
423,560,342454,16,0
424,561,342454,15,0
425,562,342454,0,20
426,563,342454,17,0
427,564,342454,16,0
428,565,349688,4,0
429,566,349688,10,0
430,567,349688,9,0
431,568,349688,14,0
432,569,349688,11,0
433,570,349688,12,0
434,571,349688,8,0
435,572,349688,9,0
436,573,349688,9,0
437,574,349688,13,0
438,575,349688,14,0
439,576,349688,7,0
440,577,349688,11,0
441,578,349688,14,0
442,579,349688,3,0
443,580,349688,7,0
444,587,342455,16,0
445,588,342455,17,0
446,589,342455,13,0
447,590,342455,14,0
448,591,342455,16,0
449,592,342456,12,0
450,593,342456,4,0
451,594,342457,5,0
452,595,342457,3,0
453,596,342457,16,0
454,597,342457,11,0
455,598,342457,9,0
456,599,342457,9,0
457,604,324495,10,0
458,605,324495,8,0
459,606,324495,10,0
460,607,324495,11,0
461,608,324495,11,0
462,609,324495,8,0
463,610,324495,11,0
464,611,324495,11,0
465,612,324495,11,0
466,613,324495,9,0
467,614,324495,11,0
468,615,324495,10,0
469,616,324495,9,0
470,617,324495,5,0
471,618,324495,12,0
472,619,324495,11,0
473,620,324495,13,0
474,621,324495,9,0
475,622,324495,15,0
476,623,324495,16,0
477,624,324495,12,0
478,625,324495,7,0
479,626,342458,10,0
480,627,342458,6,0
481,628,342458,9,0
482,629,342458,5,0
483,630,342458,9,0
484,631,342458,6,0
485,632,342458,6,0
486,633,400788,3,0
487,634,400788,3,0
488,635,400788,5,0
489,636,400788,4,0
490,637,400788,4,0
491,638,400788,4,0
492,639,400788,4,0
493,640,400788,6,0
494,641,400788,4,0
495,642,400788,7,0
496,643,400788,6,0
497,644,400788,7,0
498,645,400787,6,0
499,646,400787,5,0
500,647,400787,7,0
501,648,400787,8,0
502,649,400787,20,0
503,650,400787,9,0
504,651,400787,11,0
505,652,400787,11,0
506,653,400787,10,0
507,654,400787,9,0
508,655,400787,11,0
509,656,400787,12,0
510,657,400787,10,0
511,658,344037,18,0
512,659,344037,7,0
513,660,344037,4,0
514,661,344037,4,0
515,662,344037,4,0
516,663,344037,4,0
517,664,344037,3,0
518,665,344037,19,0
519,666,344037,12,0
520,667,400789,3,0
521,668,400789,4,0
522,669,400789,5,0
523,670,400789,4,0
524,671,400789,4,0
525,672,400789,17,0
526,673,400789,15,0
527,674,400789,8,0
528,675,324274,4,0
529,676,324274,5,0
530,677,324274,6,0
